timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[Â°F]
2023-08-09T02:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T06:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T09:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T12:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T14:29:59-04:00,580.5,---,53.01,---,5.2,2.9,5,97101.7,80
2023-08-09T14:49:57-04:00,552.2,---,50.04,---,6,3,6,97114.4,78.6
2023-08-09T15:06:58-04:00,559.6,---,51.73,---,5.8,3.1,5.5,97143.4,77.3
2023-08-09T15:24:58-04:00,525.8,---,51.92,---,6.5,3.5,5.7,97140.5,76.9
2023-08-09T15:42:58-04:00,518.9,---,52.34,---,5.8,2.8,5.5,97112.5,76.7
2023-08-09T16:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T16:18:58-04:00,524.8,---,52.79,---,4.7,2.1,4,97091.7,76.5
2023-08-09T16:36:58-04:00,524.8,---,52.63,---,3.9,2.2,3.9,97084.6,76.6
2023-08-09T16:53:58-04:00,516.9,---,52.58,---,3.6,2,3.5,97061.4,76.5
2023-08-09T17:11:59-04:00,508,---,52.2,---,4.4,2.3,4.2,97056.8,76.4
2023-08-09T17:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T17:47:59-04:00,489.2,---,53.17,---,3.9,2.4,3.8,97046.2,75.7
2023-08-09T18:05:59-04:00,480.5,---,54.27,---,4.1,2.4,4.1,97054.3,75.5
2023-08-09T18:23:59-04:00,473.3,---,55.05,---,4.8,2.4,4.3,97058.3,75.4
2023-08-09T18:40:59-04:00,466.9,---,55.75,---,5.2,2.6,5,97047.3,75.2
2023-08-09T18:59:59-04:00,457.8,---,56.32,---,5.7,3,5.4,97035.5,75.2
2023-08-09T19:17:59-04:00,451.2,---,57.52,---,5.8,3.3,5.5,97035.4,75.2
2023-08-09T19:34:59-04:00,447.8,---,57.83,---,5.7,2.7,5.3,97054.9,75.3
2023-08-09T19:52:59-04:00,442.9,---,57.8,---,5.2,3.3,5.2,97062.9,75.4
2023-08-09T20:10:59-04:00,441.1,---,57.89,---,6.5,3.1,6,97083.5,75.5
2023-08-09T20:28:59-04:00,438,---,57.83,---,6.8,3.2,6.3,97101.3,75.6
2023-08-09T20:46:59-04:00,439.5,---,57.55,---,6.8,3.8,6.6,97137.8,75.6
2023-08-09T21:04:59-04:00,439.7,---,57.41,---,6.8,3.7,6.3,97138.6,75.7
2023-08-09T21:22:00-04:00,444,---,57.29,---,8,3.8,7.5,97155.6,75.7
2023-08-09T21:40:00-04:00,448.5,---,57.19,---,7,3.5,6.8,97162.4,75.8
2023-08-09T21:59:00-04:00,455.8,---,57.21,---,6.7,4,6.7,97154.9,75.8
2023-08-09T22:16:00-04:00,458.8,---,57.17,---,7.3,3.8,6.9,97161.9,75.9
2023-08-09T22:34:00-04:00,464,---,56.94,---,7.4,3.5,6.7,97141.6,75.9
2023-08-09T22:52:00-04:00,470.7,---,56.97,---,8,3.5,7.5,97141.8,75.9
2023-08-09T23:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-09T23:28:00-04:00,480,---,56.88,---,7.4,3.6,7.2,97128.8,76
2023-08-09T23:46:00-04:00,486.1,---,56.82,---,7,3.3,6.4,97128.4,75.9
2023-08-10T00:03:01-04:00,487.4,---,56.71,---,8,4.3,7.8,97128.8,76
2023-08-10T00:21:00-04:00,492.8,---,56.65,---,7.7,3.7,6.9,97118.5,76
2023-08-10T00:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T00:57:01-04:00,497,---,56.52,---,6.2,3.1,5.7,97090.5,76
2023-08-10T01:15:01-04:00,500.6,---,56.43,---,5.7,3.3,5.5,97079.5,76
2023-08-10T01:33:01-04:00,503.5,---,56.34,---,7.5,3.8,7.2,97081.1,76
2023-08-10T01:50:01-04:00,503.8,---,56.34,---,6.7,3.5,6.4,97061.6,76
2023-08-10T02:09:01-04:00,502.3,---,56.3,---,7.3,4.2,6.8,97038.8,76
2023-08-10T02:27:01-04:00,502,---,56.23,---,6.5,3.7,6,97032.9,76
2023-08-10T02:44:01-04:00,503.3,---,56.06,---,7.3,3.5,6.8,97035.7,76
2023-08-10T03:02:01-04:00,501.3,---,55.93,---,6.9,3.7,6.8,97027.5,76.1
2023-08-10T03:20:02-04:00,500.9,---,55.83,---,6.6,3.3,6.3,96992.5,76
2023-08-10T03:38:01-04:00,503.1,---,55.68,---,7,4,6.5,96962.2,76
2023-08-10T03:56:01-04:00,502.1,---,55.7,---,6.9,3.9,6.4,96945.2,76
2023-08-10T04:14:01-04:00,503.4,---,55.65,---,6.8,3.1,6.1,96931.9,76
2023-08-10T04:31:01-04:00,504,---,55.87,---,7.1,3.9,6.9,96910.8,76
2023-08-10T04:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T05:08:02-04:00,506.2,---,56.04,---,6.7,3.1,5.7,96899,76
2023-08-10T05:25:02-04:00,506.1,---,56.1,---,6.1,3.3,6,96888.3,76
2023-08-10T05:43:02-04:00,506.9,---,54.61,---,5.8,3.3,5.6,96875.5,76
2023-08-10T06:01:02-04:00,507.5,---,52.24,---,6.1,3,5.9,96888.9,75.7
2023-08-10T06:19:02-04:00,507.3,---,51.52,---,5.3,3.2,5.2,96882.2,75.4
2023-08-10T06:37:03-04:00,503.8,---,51.48,---,5.5,2.8,5.3,96841.5,75
2023-08-10T06:55:03-04:00,504.4,---,51.32,---,5,2.8,4.7,96841.9,74.8
2023-08-10T07:12:03-04:00,504.3,---,51.38,---,4.5,2.8,4.5,96841.4,74.6
2023-08-10T07:30:03-04:00,504.1,---,52.32,---,4.6,2.8,4.2,96846,74.4
2023-08-10T07:49:03-04:00,501,---,54.63,---,5.2,3.3,5,96859,74.4
2023-08-10T08:06:03-04:00,496.7,---,55.86,---,4.6,2.9,4.5,96860.4,74.4
2023-08-10T08:24:03-04:00,490,---,57.35,---,5.3,2.9,5.1,96866.4,74.6
2023-08-10T08:42:03-04:00,488,---,57.6,---,5.4,3.3,5.2,96871.7,74.7
2023-08-10T09:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T09:18:03-04:00,519.3,---,57.05,---,6,2.8,5.8,96888.3,75.4
2023-08-10T09:35:04-04:00,548.1,---,56.22,---,6.3,3,5.9,96875.1,75.5
2023-08-10T09:52:04-04:00,539.3,---,55.2,---,6.3,3.6,5.8,96886.3,76.2
2023-08-10T10:10:04-04:00,554.6,---,54.64,---,6,3.7,5.8,96861.5,76.3
2023-08-10T10:29:04-04:00,563.4,---,53.48,---,5.9,3.3,5.3,96856.2,76.4
2023-08-10T10:46:04-04:00,570.5,---,52.68,---,5.3,2.6,5,96878,76.5
2023-08-10T11:04:04-04:00,568.3,---,52.24,---,5.5,3,5.3,96840,76.6
2023-08-10T11:22:04-04:00,568.9,---,52.08,---,5.2,2.9,5,96818.7,76.7
2023-08-10T11:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T11:58:04-04:00,558.7,---,51.53,---,5.1,2.9,5,96782.8,77
2023-08-10T12:16:05-04:00,556.6,---,51.37,---,5.2,2.8,5.1,96768.6,77
2023-08-10T12:33:05-04:00,538.3,---,50.92,---,6,2.9,5.3,96747.2,77.1
2023-08-10T12:50:05-04:00,545.8,---,50.74,---,6.6,3.4,5.9,96729,77.1
2023-08-10T13:09:05-04:00,546.9,---,50.76,---,5.3,2.5,5,96698.3,77.1
2023-08-10T13:26:06-04:00,549.9,---,50.74,---,5.5,3.2,4.8,96677.8,77.3
2023-08-10T13:44:06-04:00,531.5,---,50.72,---,5.6,3.1,5.5,96651.3,77.3
2023-08-10T14:02:06-04:00,542.2,---,51.05,---,12.8,6.4,12.4,96648.8,77.4
2023-08-10T14:19:06-04:00,552.9,---,50.96,---,8.6,4.3,7.7,96642.6,77.6
2023-08-10T14:37:06-04:00,551.1,---,50.9,---,7.3,4.1,7,96651.9,77.5
2023-08-10T14:54:07-04:00,538.9,---,50.77,---,6.6,4,6.1,96659,77.6
2023-08-10T15:11:08-04:00,527.3,---,50.56,---,7.1,3.9,6.5,96630.1,77.6
2023-08-10T15:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T15:48:08-04:00,544.2,---,50.7,---,5.1,3.2,5.1,96562.4,77.7
2023-08-10T16:04:08-04:00,556.9,---,50.9,---,5.2,3.1,5.1,96574.2,77.7
2023-08-10T16:22:08-04:00,553.4,---,50.63,---,6.8,3.8,6.4,96569.6,77.9
2023-08-10T16:40:09-04:00,548.1,---,51.03,---,4.9,2.5,4.8,96567,77.9
2023-08-10T16:57:10-04:00,541,---,52.15,---,4.5,2.4,4.1,96554.2,77.9
2023-08-10T17:14:09-04:00,510.7,---,52.6,---,3.9,1.9,3.5,96552.2,77.8
2023-08-10T17:32:09-04:00,493.8,---,52.92,---,3.9,2.3,3.7,96575.5,77.8
2023-08-10T17:49:11-04:00,480.3,---,53.19,---,3.1,1.8,3,96570.2,77.7
2023-08-10T18:07:11-04:00,467.4,---,53.71,---,2.9,1.8,2.8,96571.8,77.6
2023-08-10T18:25:11-04:00,456.8,---,54.11,---,3.2,1.8,3,96608.5,77.5
2023-08-10T18:42:12-04:00,451.9,---,54.17,---,2.3,1.1,2.3,96620.5,77.5
2023-08-10T19:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T19:17:13-04:00,441,---,54.03,---,3.6,1.8,3.3,96661.4,77.4
2023-08-10T19:34:12-04:00,436.6,---,54.21,---,3,1.8,2.7,96691.5,77.3
2023-08-10T19:51:12-04:00,431.3,---,54.44,---,3.5,1.4,2.8,96702.4,77.3
2023-08-10T20:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T20:26:12-04:00,427.3,---,55.9,---,5.1,2.5,5,96711.8,77.5
2023-08-10T20:44:13-04:00,425,---,56.17,---,5.3,2.7,4.9,96735,77.8
2023-08-10T21:02:14-04:00,427,---,56.35,---,5.5,2.6,5,96779.8,77.9
2023-08-10T21:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T21:37:14-04:00,429,---,56.59,---,5.7,3.2,5.7,96810,78
2023-08-10T21:52:14-04:00,429.3,---,56.66,---,5.8,3.1,5.8,96818.4,78
2023-08-10T22:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T22:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T22:48:15-04:00,436.6,---,56.28,---,5,2.5,4.8,96825.6,78.1
2023-08-10T23:04:16-04:00,442.8,---,56.32,---,5,2.6,4.6,96822,78.2
2023-08-10T23:22:15-04:00,446.2,---,56.16,---,5,2.8,4.8,96804.3,78.2
2023-08-10T23:40:16-04:00,450.4,---,55.99,---,4.9,2.4,4.9,96802.5,78.2
2023-08-10T23:57:23-04:00,456.8,---,55.86,---,4.2,2.2,3.8,96820.3,78.3
2023-08-11T00:15:16-04:00,460.4,---,55.73,---,4.2,2.1,3.5,96850.3,78.2
2023-08-11T00:32:17-04:00,462.2,---,55.76,---,4,2.3,3.8,96864.9,---
2023-08-11T00:50:25-04:00,467.6,---,55.79,---,4.5,2.6,4.2,96852.2,78.1
2023-08-11T01:09:17-04:00,473.1,---,55.9,---,4.9,2.4,4.6,96854.5,78
2023-08-11T01:26:17-04:00,478.1,---,55.87,---,4.1,2.2,3.6,96835.3,77.9
2023-08-11T01:44:18-04:00,485.4,---,55.78,---,3.3,1.9,3,96835.8,77.7
2023-08-11T02:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:17:18-04:00,486.3,---,55.49,---,3.7,2.2,3.7,96842.5,77.7
2023-08-11T02:35:18-04:00,491.8,---,55.4,---,3.4,1.8,3.3,96839.3,77.7
2023-08-11T02:54:19-04:00,496,---,54.77,---,4.2,2.3,3.7,96865.3,77.6
2023-08-11T03:11:26-04:00,498.4,---,54.21,---,3.7,2.3,3.7,96879.4,77.5
2023-08-11T03:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:48:19-04:00,498.3,---,54.21,---,3.6,2,3.4,96872.7,77.4
2023-08-11T04:05:19-04:00,497.4,---,54.24,---,4.4,2.3,4.2,96881.2,77.3
2023-08-11T04:22:21-04:00,503.8,---,54.05,---,3.8,2.5,3.7,96871.8,77.4
2023-08-11T04:39:21-04:00,502.6,---,54.15,---,5,2.2,4.5,96890.4,77.2
2023-08-11T04:56:21-04:00,497.7,---,54.23,---,5,2.6,4.6,96883.2,77.3
2023-08-11T05:14:21-04:00,499.4,---,54.28,---,4.6,2.9,4.5,96911.4,77.3
2023-08-11T05:32:21-04:00,496.9,---,54.68,---,4.4,2.4,4.3,96929.4,77.3
2023-08-11T05:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T06:08:27-04:00,489.8,---,50.99,---,3.6,2,3.6,97000,77.2
2023-08-11T06:26:23-04:00,484,---,49.49,---,4.9,2.6,4.2,97020.8,76.9
2023-08-11T06:43:23-04:00,477.8,---,49,---,5.1,2.8,4.7,97050.1,76.5
2023-08-11T07:01:23-04:00,471.3,---,48.97,---,5.7,2.9,5.3,97055.7,76.2
2023-08-11T07:19:23-04:00,466.4,---,49.14,---,6,2.6,5.9,97074.5,75.9
2023-08-11T07:35:24-04:00,457.7,---,49.97,---,5.3,2.8,5,97088.4,75.8
2023-08-11T07:53:24-04:00,456.4,---,52.34,---,5.3,3,5.3,97112.7,75.7
2023-08-11T08:11:24-04:00,454.1,---,55.08,---,5,2.3,4.8,97128.1,75.9
2023-08-11T08:29:25-04:00,454.7,---,55.66,---,5.8,3,5.5,97132.7,76
2023-08-11T08:47:25-04:00,455.3,---,55.73,---,6.3,2.6,5.6,97156.4,76.2
2023-08-11T09:05:25-04:00,489.9,---,56.06,---,4.2,2.3,4.1,97157.3,76.5
2023-08-11T09:22:26-04:00,486.2,---,55.77,---,5.6,2.8,5.4,97163.8,76.8
2023-08-11T09:40:27-04:00,502.3,---,54.25,---,4.3,2.3,4.1,97186.7,77.2
2023-08-11T09:59:26-04:00,508.9,---,52,---,3.5,1.6,3.5,97189.5,77.2
2023-08-11T10:16:28-04:00,510.3,---,51.04,---,3,1.6,3,97210.4,77.1
2023-08-11T10:34:26-04:00,516,---,50.57,---,2.9,1.6,2.8,97228.8,77.1
2023-08-11T10:51:27-04:00,530.3,---,50.62,---,2.3,1.3,2.3,97241,77.1
2023-08-11T11:08:27-04:00,---,---,51.23,---,---,---,---,---,77.4
2023-08-11T11:25:27-04:00,493.1,---,51.44,---,1.9,0.9,1.8,97267.8,77.5
2023-08-11T11:43:28-04:00,511.8,---,52.12,---,1.6,0.7,1.6,97293.7,77.5
2023-08-11T12:00:28-04:00,493.8,---,51.98,---,1.2,0.9,1.2,97275.6,77.7
2023-08-11T12:19:29-04:00,503.9,---,51.73,---,1.5,0.6,1.5,97298.2,77.7
2023-08-11T12:37:29-04:00,494.3,---,51.34,---,1.6,0.8,1.4,97292.3,77.7
2023-08-11T12:54:28-04:00,495.7,---,51.29,---,1.4,0.7,1.4,97286.8,77.8
2023-08-11T13:12:29-04:00,506.7,---,51.23,---,1.2,0.4,1.2,97303.6,77.9
2023-08-11T13:30:29-04:00,499.3,---,50.66,---,2.9,1.4,2.5,97313.8,78
2023-08-11T13:48:30-04:00,495.8,---,50.24,---,1.1,0.6,1,97313.3,78.2
2023-08-11T14:05:30-04:00,519.3,---,50.57,---,1.4,0.7,1.4,97311.6,78.1
2023-08-11T14:23:30-04:00,512.6,---,50.66,---,0.7,0.3,0.7,97321.4,78
2023-08-11T14:40:31-04:00,517.4,---,50.2,---,0.8,0.7,0.8,97318.9,78.2
2023-08-11T14:59:37-04:00,496.3,---,49.63,---,0.9,0.5,0.8,97305,78.3
2023-08-11T15:17:32-04:00,481.3,---,49.86,---,0.9,0.3,0.9,97298.8,78.3
2023-08-11T15:34:32-04:00,504.8,---,50.13,---,0.7,0.3,0.7,97294.7,78.1
2023-08-11T15:52:32-04:00,485.4,---,49.9,---,0.6,0.3,0.5,97297.6,78.2
2023-08-11T16:10:32-04:00,494.7,---,49.8,---,0.8,0.5,0.8,97304.3,78.2
2023-08-11T16:28:35-04:00,503.9,---,49.69,---,1.7,0.9,1.5,97314.2,78.2
2023-08-11T16:46:34-04:00,503.6,---,49.61,---,2,1.1,1.8,97314.2,78.3
2023-08-11T17:04:34-04:00,482.5,---,49.5,---,2,1,1.9,97305,78.3
2023-08-11T17:21:35-04:00,469.8,---,49.45,---,1.6,1.1,1.6,97305.7,78.1
2023-08-11T17:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T17:57:34-04:00,449.4,---,50.16,---,1.7,0.7,1.4,97299.2,77.7
2023-08-11T18:14:34-04:00,445.5,---,50.22,---,1,0.7,1,97314.1,77.6
2023-08-11T18:32:34-04:00,439.9,---,50.35,---,1.1,0.5,1.1,97316.5,77.4
2023-08-11T18:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T19:07:35-04:00,431.5,---,50.65,---,1.1,0.4,0.7,97320.5,77.4
2023-08-11T19:25:36-04:00,429.2,---,50.4,---,1,0.7,0.9,97334.1,77.5
2023-08-11T19:43:36-04:00,428.4,---,50.16,---,1.1,0.6,1.1,97337.9,77.6
2023-08-11T20:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T20:18:37-04:00,428,---,50.84,---,1.3,0.6,1.2,97352.1,77.7
2023-08-11T20:35:37-04:00,430.5,---,51.51,---,2.1,1.2,2.1,97357.1,77.7
2023-08-11T20:52:53-04:00,433.3,---,51.64,---,2.3,1,2.3,97384.4,77.8
2023-08-11T21:11:54-04:00,437.9,---,51.73,---,1.8,1.1,1.7,97400.9,78
2023-08-11T21:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T21:47:57-04:00,449.5,---,51.77,---,2.3,1.3,2.2,97449.3,78.1
2023-08-11T22:05:54-04:00,453.8,---,51.91,---,2,1.1,1.8,97468.1,78.1
2023-08-11T22:23:55-04:00,459.6,---,51.89,---,1.5,0.9,1.2,97476,78.1
2023-08-11T22:40:56-04:00,461,---,51.87,---,1.3,1.1,1.3,97494.8,78.1
2023-08-11T22:59:55-04:00,462.8,---,51.83,---,2.2,1.4,2.2,97484,78
2023-08-11T23:17:55-04:00,464.2,---,51.88,---,1.7,1.1,1.7,97487.8,78
2023-08-11T23:34:55-04:00,462.8,---,51.77,---,2.4,1.5,2.3,97463.4,78
2023-08-11T23:52:55-04:00,461.8,---,51.76,---,3,1.7,3,97467.5,78
2023-08-12T00:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-12T00:26:56-04:00,458.9,---,51.69,---,3.1,1.7,3,97453.9,78
2023-08-12T00:42:57-04:00,460.7,---,51.64,---,3,2,3,97462.1,77.9
2023-08-12T01:00:09-04:00,463,---,51.5,---,3,1.9,3,97463,77.8
2023-08-12T01:17:57-04:00,465.6,---,51.46,---,3,2.1,3,97463.8,77.8
2023-08-12T01:35:57-04:00,468,---,51.26,---,2.8,1.8,2.8,97457.6,77.8
2023-08-12T01:53:59-04:00,464.8,---,51.3,---,2.7,1.5,2.6,97441.3,77.7
2023-08-12T02:10:58-04:00,467.8,---,51.21,---,2.3,1.3,2.1,97415.7,77.6
2023-08-12T02:29:58-04:00,466.4,---,51.14,---,2.2,1.2,2,97403.8,77.6
2023-08-12T02:47:58-04:00,467.2,---,51.1,---,2.5,1.5,2.1,97417.3,77.6
2023-08-12T03:05:01-04:00,466.7,---,50.94,---,1.4,0.8,1.3,97404.6,77.6
2023-08-12T03:22:59-04:00,467.9,---,51.03,---,1.4,0.8,1.2,97408.5,77.5
2023-08-12T03:41:00-04:00,469.2,---,51.02,---,1.7,0.8,1.7,97407.4,77.5
2023-08-12T03:59:00-04:00,467.4,---,50.98,---,2.4,1.1,2.4,97402,77.5
2023-08-12T04:17:00-04:00,467.7,---,50.87,---,1.5,0.8,1.5,97355.7,77.4
2023-08-12T04:34:01-04:00,465.3,---,50.8,---,1.3,0.7,1.1,97346.7,77.4
2023-08-12T04:51:01-04:00,457.7,---,50.58,---,1.9,1.1,1.6,97340,77.5
2023-08-12T05:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-12T05:28:01-04:00,444.3,---,48.3,---,2.3,1.1,2,97334.1,77.3
2023-08-12T05:45:02-04:00,441.6,---,47.06,---,2.1,1.1,2,97378,76.9
2023-08-12T06:03:02-04:00,439.6,---,46.71,---,2.2,1.3,2,97374.6,76.5
2023-08-12T06:21:02-04:00,440.7,---,46.66,---,3,1.3,2.6,97388.2,76.2
2023-08-12T06:39:03-04:00,435.3,---,47.25,---,2.2,1,2,97388.7,76
2023-08-12T06:57:03-04:00,---,---,49.38,---,---,---,---,---,76
2023-08-12T07:14:03-04:00,438.3,---,51.56,---,1.5,0.7,1.5,97399.9,76.1
2023-08-12T07:31:04-04:00,436.3,---,52.07,---,2.5,1.1,2.2,97415.7,76.2
2023-08-12T07:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-12T08:08:05-04:00,436.4,---,51.92,---,1.7,0.8,1.5,97387.5,76.5
2023-08-12T08:25:05-04:00,432.6,---,51.74,---,1.6,0.9,1.5,97359.8,76.6
2023-08-12T08:43:05-04:00,431.5,---,51.43,---,1.7,0.8,1.6,97345.9,76.7
2023-08-12T09:01:05-04:00,430.1,---,50.5,---,2.3,1.3,2.3,97335.4,76.5
2023-08-12T09:19:05-04:00,430.4,---,49.9,---,2.3,1.3,2.1,97336.8,76.4
2023-08-12T09:37:06-04:00,427.8,---,50.12,---,1.9,0.9,1.9,97308.9,76.1
2023-08-12T09:55:06-04:00,428.9,---,51.22,---,2.3,1,2.2,97323.3,75.9
2023-08-12T10:12:06-04:00,430.7,---,52.57,---,1.8,1.1,1.8,97319.8,75.9
2023-08-12T10:30:06-04:00,428.8,---,53.8,---,1.8,0.7,1.5,97309.6,75.9
2023-08-12T10:49:08-04:00,427,---,53.96,---,1.9,1,1.8,97325.8,76.2
2023-08-12T11:06:07-04:00,429.8,---,53.88,---,1.8,0.9,1.7,97287.5,76.4
2023-08-12T11:24:07-04:00,430.3,---,54.03,---,3.5,1.9,3.2,97275.7,76.5
2023-08-12T11:42:08-04:00,429.4,---,53.28,---,2.9,1.8,2.8,97235.8,76.5
2023-08-12T12:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-12T12:18:07-04:00,430.2,---,52.23,---,2.5,1.4,2.5,97236.1,76.1
2023-08-12T12:35:08-04:00,430.5,---,52.38,---,2.8,1.4,2.6,97223.5,76
2023-08-12T12:52:09-04:00,429.5,---,53.36,---,2.9,1.5,2.8,97213.5,75.9
2023-08-12T13:10:09-04:00,427.3,---,53.84,---,2.8,1.7,2.8,97167.5,75.9
2023-08-12T13:27:09-04:00,428.3,---,56.24,---,3.6,1.8,3.3,97184.2,76
2023-08-12T13:45:09-04:00,424.8,---,57.2,---,4,2.3,3.8,97180.1,76.2
2023-08-12T14:02:10-04:00,425.5,---,57.42,---,3.8,1.7,3.7,97166.1,76.4
